,question,answer,qtype
6534,What responsible immunoglobulin production?,B-cell compartment responsible immunoglobulin production.,3
6535,What responsible severe COVID-19 disease?,cellular and molecular mechanisms responsible severe COVID-19 disease.,3
6536,What against COVID-19?,live attenuated vaccine against COVID-19.,3
6537,What treatment moderate-tosevere COVID-19?,systemic corticosteroids treatment moderate-tosevere COVID-19.,3
6538,What associate reduced morbidity of the disease?,inhaled corticosteroid use associate reduced morbidity of the disease.,3
6539,What against Severe Acute Respiratory Syndrome Coronavirus?,Xanthorrhizol against Severe Acute Respiratory Syndrome Coronavirus.,3
6540,What reduce infectious SCoV2 titer?,XNT reduce infectious SCoV2 titer.,3
6541,What against SCoV2 variants?,XNT against SCoV2 variants.,3
6542,What inhibit 3CL main protease (Nsp5)?,XNT inhibit 3CL main protease (Nsp5).,3
6543,What base social distancing situation?,red zones base social distancing situation.,3
6544,What favour right-leaning news sources?,algorithmic amplification favour right-leaning news sources.,3
6545,What shape political content consumption?,personalization algorithms shape political content consumption.,3
6546,What impact electricity power production?,COVID-19 containment measures impact electricity power production.,3
6547,What mediate recombination?,RNA structural motifs mediate recombination.,3
6548,What influence intention to leave the job?,role conflict influence intention to leave the job.,3
6549,What moderate role conflict?,on-the-job embeddedness moderate role conflict.,3
6550,What relationship intention to leave?,on-the-job embeddedness relationship intention to leave.,3
6551,What reduce turnover intention?,organizations reduce turnover intention.,3
6552,What diagnose pulmonary diseases?,profiles of VOCs diagnose pulmonary diseases.,3
6553,What affect commuters' plans?,bus delays affect commuters' plans.,3
6554,What associate fibrotic processes?,fibrocytes associate fibrotic processes.,3
6555,What associate fibrotic processes?,bone marrow-derived progenitor cells associate fibrotic processes.,3
6556,What treat STEMI?,primary PCI treat STEMI.,3
6557,What associate exacerbation of respiratory illnesses?,Rhinoviruses associate exacerbation of respiratory illnesses.,3
6558,What effect RV-B14 infectivity?,bovine lactoferrin (BLf) effect RV-B14 infectivity.,3
6559,What do examination?,light microscopy do examination.,3
6560,What do examination?,electron microscopy do examination.,3
6561,What by examination?,light microscopy by examination.,3
6562,What detect pathogen-associated molecular patterns?,cells detect pathogen-associated molecular patterns.,3
6563,What coordinate host responses?,inflammatory monocytes coordinate host responses.,3
6564,What control innate and adaptive leukocytes?,myeloid cells control innate and adaptive leukocytes.,3
6565,What decrease mortality in severe COVID-19?,remdesivir decrease mortality in severe COVID-19.,3
6566,What reduce mortality?,remdesivir reduce mortality.,3
6567,What result hepatocellular carcinoma?,hepatitis B virus (HBV) result hepatocellular carcinoma.,3
6568,What roles disordered gene expression?,factors roles disordered gene expression.,3
6569,What cause liver injury?,HBV cause liver injury.,3
6570,What mediate upregulation of COX-2?,demethylation events mediate upregulation of COX-2.,3
6571,What predict depressive symptoms?,affective instability predict depressive symptoms.,3
6572,What essential non-face-to-face testing?,technologies essential non-face-to-face testing.,3
6573,What detect abnormal behavior of video conferencing participants?,gaze estimation methods detect abnormal behavior of video conferencing participants.,3
6574,What relationship mumps?,ambient temperature relationship mumps.,3
6575,What relationship incidence of mumps?,ambient temperature relationship incidence of mumps.,3
6576,What affect incidence of mumps?,ambient temperature affect incidence of mumps.,3
6577,What increase incidence of mumps?,hot and cold effect of ambient temperature increase incidence of mumps.,3
6578,What affect incidence of infectious disease?,means affect incidence of infectious disease.,3
6579,What affect incidence of infectious disease?,meteorological factors affect incidence of infectious disease.,3
6580,What association physical activity in outdoor environments?,weather conditions association physical activity in outdoor environments.,3
6581,What control behavior of the model?,SIR model control behavior of the model.,3
6582,What for user involvement?,UFM for user involvement.,3
6583,What protect user autonomy?,strategies protect user autonomy.,3
6584,What associate severity of various diseases?,monocyte-to-lymphocyte ratio (MLR) associate severity of various diseases.,3
6585,What extract clinical data?,hospital records extract clinical data.,3
6586,What extract clinical data?,discharge letters extract clinical data.,3
6587,What correlate length of hospital stay?,ratios correlate length of hospital stay.,3
6588,What correlate length of stay?,NLR correlate length of stay.,3
6589,What correlate length of stay?,MLR correlate length of stay.,3
6590,What facilitate risk stratification in affected patients?,white blood cell differentials facilitate risk stratification in affected patients.,3
6591,What safeguard health of PWUD?,measures safeguard health of PWUD.,3
6592,What monitor contents of drugs in the unregulated street supply?,low-barrier system monitor contents of drugs in the unregulated street supply.,3
6593,What prevention skin injuries?,prophylactic dressing prevention skin injuries.,3
6594,What prevention discomfort in breathing with mask?,nasal strip prevention discomfort in breathing with mask.,3
6595,What use risky areas on the face?,prophylactic dressing use risky areas on the face.,3
6596,What associate skin injuries?,PPE use associate skin injuries.,3
6597,What compute peptide classes?,software compute peptide classes.,3
6598,What reduce maternal and neonatal mortality?,utilization reduce maternal and neonatal mortality.,3
6599,What use trends?,chi-squared test use trends.,3
6600,What identify determinants of institutional delivery?,multilevel logistic regression model identify determinants of institutional delivery.,3
6601,What identify institutional delivery?,multilevel logistic regression model identify institutional delivery.,3
6602,What associate institutional delivery?,] associate institutional delivery.,3
6603,What relate sexual dysfunction?,physical health issues relate sexual dysfunction.,3
6604,What relate urological symptoms?,physical health issues relate urological symptoms.,3
6605,What assess HRQoL?,"cancer-generic, locationand sarcoma-specific items assess HRQoL.",3
6606,What study migration trends?,non-traditional data sources study migration trends.,3
6607,What worsen mental health problems?,COVID-19 pandemic worsen mental health problems.,3
6608,What association mental health?,COVID-19 stressors association mental health.,3
6609,What lead misinformation on the virus?,COVID-19 lead misinformation on the virus.,3
6610,What minimize misinformation among student populations?,web-based conference minimize misinformation among student populations.,3
6611,What cause impairment on mental health of the students?,COVID-19 cause impairment on mental health of the students.,3
6612,What treat all-comers?,Clinics treat all-comers.,3
6613,What cause once-in-a-century global pandemic?,COVID-19 cause once-in-a-century global pandemic.,3
6614,What classify gene expressions data?,DNN classify gene expressions data.,3
6615,What helpful genetic and virology researchers?,computer-aided analyses of genes helpful genetic and virology researchers.,3
6616,What detect low amplicon numbers?,digital PCR detect low amplicon numbers.,3
6617,What detect infection in swab material?,digital PCR detect infection in swab material.,3
6618,What describe pandemic and policy responses?,analyses describe pandemic and policy responses.,3
6619,What attribute exposure?,international travel attribute exposure.,3
6620,What impact ICI-based therapies?,aging and senescence impact ICI-based therapies.,3
6621,What detect endogenous murine p16 protein?,antibody detect endogenous murine p16 protein.,3
6622,What decrease onset of age-related diseases?,elimination of these cells in chronologically or accelerated models of aging decrease onset of age-related diseases.,3
6623,What beneficial wound healing?,senescent cells beneficial wound healing.,3
6624,What clearance senescent cells?,senolytics clearance senescent cells.,3
6625,What improve physical functions?,senolytic approaches improve physical functions.,3
